자치구,고장신고건수,총대여수,고장률(%)
중랑구,305,114099,0.2673117205234051
광진구,516,186210,0.2771064926695666
강서구,1447,504115,0.2870376798944685
강북구,153,53228,0.28744269933117905
노원구,744,251785,0.2954901999721985
은평구,301,101578,0.29632400716690627
영등포구,1065,355837,0.29929433982413295
도봉구,290,91070,0.3184363676292961
구로구,522,161804,0.3226125435712343
강동구,562,173840,0.3232857800276116
양천구,839,257312,0.32606330058450445
종로구,405,123672,0.3274791383660004
성동구,472,141831,0.33279043368516054
송파구,1181,346460,0.340876291635398
용산구,258,74366,0.34693273807922975
마포구,638,181357,0.3517923212227816
중구,312,88522,0.352454757009557
성북구,292,82727,0.3529681965984503
동대문구,454,127197,0.3569266570752455
관악구,326,90791,0.3590664272890485
동작구,286,74327,0.38478614769868286
서대문구,272,70127,0.3878677256976628
금천구,299,73411,0.40729590933238885
강남구,506,117743,0.42974953925074105
서초구,510,116728,0.4369131656500582
