,자치구,고장신고건수,총대여수,고장률(%),랭킹,등급
0,노원구,754,262408,0.2873388006463218,1,따릉이 레전드 🏆
1,강북구,169,55726,0.3032695689624233,2,따릉이 레전드 🏆
2,중랑구,372,122095,0.304680781358778,3,따릉이 레전드 🏆
3,광진구,627,205191,0.3055689577028232,4,따릉이 매너왕 👑
4,종로구,415,127110,0.3264888679096845,5,따릉이 매너왕 👑
5,강서구,1646,503650,0.3268142559316986,6,따릉이 매너왕 👑
6,은평구,363,109108,0.33269787733255124,7,따릉이 매너왕 👑
7,양천구,887,262583,0.3377979534090173,8,따릉이 매너왕 👑
8,영등포구,1287,374684,0.3434894471074292,9,따릉이 매너왕 👑
9,송파구,1328,374154,0.35493406458303267,10,따릉이 우등생 🎯
10,도봉구,340,95701,0.3552731946374646,11,따릉이 우등생 🎯
11,강동구,657,182945,0.35912432698351965,12,따릉이 우등생 🎯
12,성북구,339,92683,0.365762869134577,13,따릉이 우등생 🎯
13,마포구,781,209452,0.37287779538987453,14,따릉이 우등생 🎯
14,동대문구,524,139769,0.3749043063912599,15,따릉이 우등생 🎯
15,중구,339,90089,0.37629455316409327,16,따릉이 우등생 🎯
16,성동구,607,158102,0.38392936205740597,17,따릉이 주의보 📉
17,관악구,352,91504,0.3846826368246197,18,따릉이 주의보 📉
18,용산구,342,87805,0.3894994590285291,19,따릉이 주의보 📉
19,구로구,681,172061,0.3957898652222177,20,따릉이 주의보 📉
20,서대문구,331,78269,0.4229005097803728,21,따릉이 주의보 📉
21,동작구,350,80783,0.4332594729089041,22,따릉이 주의보 📉
22,강남구,573,129799,0.44145178314162664,23,따릉이 응급실 🚨
23,금천구,347,73730,0.4706361047063611,24,따릉이 응급실 🚨
24,서초구,632,131865,0.47927804952034275,25,따릉이 응급실 🚨
